tripStart,routeName,routeVLD,runNumber,direction,stopId,stopNameShort,stopName,arrivalScheduled,departureScheduled,departureActual
47190,2,531,1,2,2535,LIND,Zürich Lindenplatz,49116,49140,49187
47190,2,531,1,2,2818,BACH,Zürich Bachmattstrasse,49182,49200,49245
47190,2,531,1,2,1310,FARB,Zürich Farbhof,49254,49254,49391
49380,2,531,1,1,1310,FARB,Zürich Farbhof,49380,49380,49404
49380,2,531,1,1,2818,BACH,Zürich Bachmattstrasse,49434,49452,49471
49380,2,531,1,1,2535,LIND,Zürich Lindenplatz,49482,49512,49533
49380,2,531,1,1,2770,GRIM,Zürich Grimselstrasse,49554,49584,49602
49380,2,531,1,1,2244,KAPP,Zürich Kappeli,49650,49674,49691
49380,2,531,1,1,2253,FREI,Zürich Freihofstrasse,49722,49746,49764
49380,2,531,1,1,2245,LETG,Zürich Letzigrund,49794,49818,49829
49380,2,531,1,1,1535,ALBP,Zürich Albisriederplatz,49878,49920,49927
49380,2,531,1,1,2250,ZYPR,Zürich Zypressenstrasse,49956,49986,50005
49380,2,531,1,1,2248,LOCH,Zürich Lochergut,50022,50052,50062
49380,2,531,1,1,1906,KALK,Zürich Kalkbreite,50112,50154,50161
49380,2,531,1,1,1306,BEZI,Zürich Bezirksgebäude,50190,50232,50239
49380,2,531,1,1,1502,STAU,Zürich Stauffacher,50292,50382,50389
49380,2,531,1,1,2657,SIHS,Zürich Sihlstrasse,50460,50502,50515
49380,2,531,1,1,1528,PARA,Zürich Paradeplatz,50562,50622,50637
49380,2,531,1,1,2228,BOES,Zürich Börsenstrasse,50664,50682,50691
49380,2,531,1,1,2590,BURK,Zürich Bürkliplatz,50754,50790,50789
49380,2,531,1,1,1565,BELL,Zürich Bellevue,50868,50928,50928
49380,2,531,1,1,2104,OPER,Zürich Opernhaus,50976,51012,51010
49380,2,531,1,1,2612,KRES,Zürich Kreuzstrasse,51042,51072,51072
49380,2,531,1,1,2689,FELD,Zürich Feldeggstrasse,51114,51144,51149
49380,2,531,1,1,2615,HOES,Zürich Höschgasse,51186,51216,51216
49380,2,531,1,1,2680,FROE,Zürich Fröhlichstrasse,51264,51294,51300
49380,2,531,1,1,2651,WILD,Zürich Wildbachstrasse,51324,51348,51358
49380,2,531,1,1,2788,BTIE,Zürich Bahnhof Tiefenbrunnen,51390,51390,51693
